from_fua;to_fua;time;weight
103;3911;0;7852100
103;3942;0;999700
103;3948;0;62100
103;3949;0;20390900
103;3955;0;7089000
103;398;0;8724400
103;3984;0;202883.6
103;3990;0;280080
103;4019;0;13222200
103;4054;0;154637.84
103;4088;0;10039480
103;4094;0;7560000
103;410;0;14527800
103;4124;0;3298811.14
103;415;0;25600
103;4156;0;3979884.88
103;4159;0;22643300
103;4192;0;25920127.56
103;42;0;3091700
103;4226;0;9999933.41
103;4232;0;17600
103;4288;0;206800
103;4293;0;164900
103;4299;0;5707483.18
103;43;0;0
103;4333;0;1000
103;4358;0;14371800
103;4360;0;217600
103;4391;0;3900
103;4393;0;0
103;44;0;22742429
103;4426;0;1359700
103;4454;0;100
103;4459;0;2076600
103;4460;0;11853300
103;4498;0;390700
103;4523;0;68343151.59
103;4558;0;5124501
103;4586;0;130000
103;4589;0;2603388.38
103;461;0;1271400
103;4658;0;665166.9
103;469;0;0
103;4708;0;7459700
103;4736;0;200261590.98
103;4788;0;0
103;481;0;7886200
103;4946;0;19554481.7
103;5004;0;-276015
103;5288;0;846321745.2
103;535;0;1606700
103;5356;0;49500
103;536;0;236934400
103;537;0;30633300
103;54;0;867500
103;5406;0;6476000
103;556;0;0
103;5615;0;49400
103;595;0;37190400
103;612;0;46100
103;654;0;757700
103;657;0;4332200
103;687;0;3861800
103;706;0;4803900
103;75;0;562900
103;760;0;31700
103;761;0;2529900
103;790;0;12223380
103;8;0;2742771.2
103;815;0;103381200
103;825;0;1092300
103;829;0;1186800
103;85;0;5686520
103;954;0;10855944.52
103;955;0;386200
103;959;0;65842076.92
103;964;0;26239175.4
104;279;0;1337850
104;54;0;593600
1063;1177;0;0
1063;2597;0;848422
1063;535;0;317000
1063;944;0;11512551.3
1064;1003;0;6232820
1064;103;0;57607350
1064;114;0;6281388
1064;1177;0;2887765
1064;1178;0;520311.89
1064;1269;0;404785368.9
1064;1286;0;1082800
1064;1389;0;39157500
1064;1397;0;0
1064;1427;0;88557300
1064;1445;0;17227300
1064;15;0;19698295.6
1064;1529;0;21666200
1064;1600;0;336948335
1064;164;0;14783700
1064;165;0;102900
1064;1711;0;2638400
1064;1778;0;549400
1064;1793;0;45700
1064;1846;0;410400
1064;1943;0;52547100
1064;199;0;39942600
1064;2037;0;2305300
1064;2114;0;10127800
1064;2159;0;0
1064;2254;0;255800000
1064;2304;0;851072
1064;2312;0;96400
1064;2593;0;21800
1064;2659;0;783000
1064;2663;0;131900
1064;2665;0;89175
1064;2702;0;184535100
1064;2772;0;22252600
1064;279;0;1436600
1064;2818;0;2300000
1064;2883;0;0
1064;296;0;35318900
1064;2988;0;2222004
1064;2993;0;4459200
1064;3002;0;900
1064;3016;0;7315700
1064;3064;0;1914600
1064;3093;0;14693466.85
1064;310;0;34050100
1064;3116;0;6864800
1064;3147;0;121997100
1064;3157;0;2177500
1064;3171;0;4526034.24
1064;3200;0;0
1064;3222;0;309446800
1064;328;0;106800
1064;3304;0;4575300
1064;3360;0;874000
1064;3490;0;100
1064;3580;0;3082300
1064;3679;0;12432200
1064;3718;0;141642300
1064;3793;0;1149851
1064;3799;0;871100
1064;3836;0;5593600
1064;387;0;0
1064;388;0;359300
1064;3881;0;513400
1064;3911;0;1753995
1064;4088;0;96225
1064;4094;0;8759300
1064;410;0;5861100
1064;4158;0;0
1064;4159;0;61300
1064;4192;0;0
1064;4193;0;1640200
1064;43;0;937000
1064;4358;0;28603000
1064;4388;0;302500
1064;44;0;134100
1064;4454;0;9963100
1064;4457;0;256900
1064;4460;0;1313600
